maker,name,price
ミニスフォーラム MINISFORUM,NAB0-16/512-W11Pro（1240P） [ミニパソコン/Core i5-1240P/Iris Xe Graphics eligible/メモリ 16GB/SSD 512GB/Windows 11 Pro],"￥104,800"
レノボ･ジャパン Lenovo,90VH004NJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i7-13700F/GeForce RTX 3060（LHR）/メモリ 16GB/SSD 1TB/Windows 11 Home/ブラック],"￥242,000"
デル DELL,SI30-DNL [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i3-13100/UHD グラフィックス/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥97,800"
ミニスフォーラム MINISFORUM,UM330-8/256-W11Pro（3300U） [小型デスクトップパソコン/Ryzen3 3300U/メモリ 8GB/SSD 256GB/Windows 11 Pro],"￥50,570"
エイスース ASUS,PN64-S7303AD [超小型ミニパソコン/Core i7-13700H/メモリ 16GB/SSD 256GB/Windows 11 Home/ブラック],"￥138,470"
デル DELL,AI537-DNHBWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i3-1315U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥159,800"
エイスース ASUS,S500SD-I512400LU [デスクトップパソコン/Core i5-12400/メモリ 16GB/SSD 512GB/Windows 11 Home/WPS Office 2 Standard Edition/ブラック],"￥129,800"
ミニスフォーラム MINISFORUM,N40-4/64-W10Pro（N4020） [小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB/Windows 10 Pro 64bit],"￥25,230"
HP,6K5C3PA-AAAA [デスクトップパソコン HP 24-ck0000 AiO G1モデル/23.8型/Core i5-1235U/メモリ 8GB/SSD 256GB＋HDD 2TB/ Windows 11 Home/スターリーホワイト],"￥144,800"
ミニスフォーラム MINISFORUM,UM580B-16/512-W11Pro（5800H） [小型デスクトップパソコン/Ryzen7 5800H/メモリ 16GB/SSD 512GB/Windows 11 Pro],"￥83,660"
ミニスフォーラム MINISFORUM,UN305-16/256-W11Pro（N305） [ミニパソコン/Core i3-N305/メモリ 16GB/SSD 256GB/Windows 11 Pro],"￥63,890"
